node,node_name,atlas_label,atlas_value,atlas_version
86,AAL_090,Temporal_Mid_R,90,AAL3v1/AAL3v2 labels
87,AAL_091,Temporal_Pole_Mid_L,91,AAL3v1/AAL3v2 labels
88,AAL_092,Temporal_Pole_Mid_R,92,AAL3v1/AAL3v2 labels
89,AAL_093,Temporal_Inf_L,93,AAL3v1/AAL3v2 labels
90,AAL_094,Temporal_Inf_R,94,AAL3v1/AAL3v2 labels
91,AAL_095,Cerebellum_Crus1_L,95,AAL3v1/AAL3v2 labels
92,AAL_096,Cerebellum_Crus1_R,96,AAL3v1/AAL3v2 labels
93,AAL_097,Cerebellum_Crus2_L,97,AAL3v1/AAL3v2 labels
94,AAL_098,Cerebellum_Crus2_R,98,AAL3v1/AAL3v2 labels
95,AAL_099,Cerebellum_3_L,99,AAL3v1/AAL3v2 labels
96,AAL_100,Cerebellum_3_R,100,AAL3v1/AAL3v2 labels
97,AAL_101,Cerebellum_4_5_L,101,AAL3v1/AAL3v2 labels
98,AAL_102,Cerebellum_4_5_R,102,AAL3v1/AAL3v2 labels
99,AAL_103,Cerebellum_6_L,103,AAL3v1/AAL3v2 labels
100,AAL_104,Cerebellum_6_R,104,AAL3v1/AAL3v2 labels
101,AAL_105,Cerebellum_7b_L,105,AAL3v1/AAL3v2 labels
102,AAL_106,Cerebellum_7b_R,106,AAL3v1/AAL3v2 labels
103,AAL_107,Cerebellum_8_L,107,AAL3v1/AAL3v2 labels
104,AAL_108,Cerebellum_8_R,108,AAL3v1/AAL3v2 labels
105,AAL_109,Cerebellum_9_L,109,AAL3v1/AAL3v2 labels
106,AAL_110,Cerebellum_9_R,110,AAL3v1/AAL3v2 labels
107,AAL_111,Cerebellum_10_L,111,AAL3v1/AAL3v2 labels
108,AAL_112,Cerebellum_10_R,112,AAL3v1/AAL3v2 labels
109,AAL_113,Vermis_1_2,113,AAL3v1/AAL3v2 labels
110,AAL_114,Vermis_3,114,AAL3v1/AAL3v2 labels
111,AAL_115,Vermis_4_5,115,AAL3v1/AAL3v2 labels
112,AAL_116,Vermis_6,116,AAL3v1/AAL3v2 labels
113,AAL_117,Vermis_7,117,AAL3v1/AAL3v2 labels
114,AAL_118,Vermis_8,118,AAL3v1/AAL3v2 labels
115,AAL_119,Vermis_9,119,AAL3v1/AAL3v2 labels
116,AAL_120,Vermis_10,120,AAL3v1/AAL3v2 labels
117,AAL_121,Thal_AV_L,121,AAL3v1/AAL3v2 labels
118,AAL_122,Thal_AV_R,122,AAL3v1/AAL3v2 labels
119,AAL_123,Thal_LP_L,123,AAL3v1/AAL3v2 labels
120,AAL_124,Thal_LP_R,124,AAL3v1/AAL3v2 labels
121,AAL_125,Thal_VA_L,125,AAL3v1/AAL3v2 labels
122,AAL_126,Thal_VA_R,126,AAL3v1/AAL3v2 labels
123,AAL_127,Thal_VL_L,127,AAL3v1/AAL3v2 labels
124,AAL_128,Thal_VL_R,128,AAL3v1/AAL3v2 labels
125,AAL_129,Thal_VPL_L,129,AAL3v1/AAL3v2 labels
126,AAL_130,Thal_VPL_R,130,AAL3v1/AAL3v2 labels
127,AAL_131,Thal_IL_L,131,AAL3v1/AAL3v2 labels
128,AAL_132,Thal_IL_R,132,AAL3v1/AAL3v2 labels
129,AAL_133,Thal_Re_L,133,AAL3v1/AAL3v2 labels
130,AAL_134,Thal_Re_R,134,AAL3v1/AAL3v2 labels
131,AAL_135,Thal_MDm_L,135,AAL3v1/AAL3v2 labels
132,AAL_136,Thal_MDm_R,136,AAL3v1/AAL3v2 labels
133,AAL_137,Thal_MDl_L,137,AAL3v1/AAL3v2 labels
134,AAL_138,Thal_MDl_R,138,AAL3v1/AAL3v2 labels
135,AAL_139,Thal_LGN_L,139,AAL3v1/AAL3v2 labels
136,AAL_140,Thal_LGN_R,140,AAL3v1/AAL3v2 labels
137,AAL_141,Thal_MGN_L,141,AAL3v1/AAL3v2 labels
138,AAL_142,Thal_MGN_R,142,AAL3v1/AAL3v2 labels
139,AAL_143,Thal_PuI_L,143,AAL3v1/AAL3v2 labels
140,AAL_144,Thal_PuI_R,144,AAL3v1/AAL3v2 labels
141,AAL_145,Thal_PuM_L,145,AAL3v1/AAL3v2 labels
142,AAL_146,Thal_PuM_R,146,AAL3v1/AAL3v2 labels
143,AAL_147,Thal_PuA_L,147,AAL3v1/AAL3v2 labels
144,AAL_148,Thal_PuA_R,148,AAL3v1/AAL3v2 labels
145,AAL_149,Thal_PuL_L,149,AAL3v1/AAL3v2 labels
146,AAL_150,Thal_PuL_R,150,AAL3v1/AAL3v2 labels
147,AAL_151,ACC_sub_L,151,AAL3v1/AAL3v2 labels
