# AAL3 original-integer lookup (labelconvert IN)
# index name R G B A
154 ACC_pre_R 91 229 229 255
155 ACC_sup_L 91 122 229 255
156 ACC_sup_R 168 91 229 255
157 N_Acc_L 229 91 182 255
158 N_Acc_R 229 108 91 255
159 VTA_L 229 215 91 255
160 VTA_R 135 229 91 255
161 SN_pc_L 91 229 155 255
162 SN_pc_R 91 196 229 255
163 SN_pr_L 94 91 229 255
164 SN_pr_R 201 91 229 255
165 Red_N_L 229 91 149 255
166 Red_N_R 229 141 91 255
167 LC_L 210 229 91 255
168 LC_R 102 229 91 255
169 Raphe_D 91 229 188 255
170 Raphe_M 91 163 229 255
