# AAL3 contiguous 1..166 lookup (labelconvert OUT)
# index name R G B A
149 ACC_pre_L 91 229 122 255
150 ACC_pre_R 91 229 229 255
151 ACC_sup_L 91 122 229 255
152 ACC_sup_R 168 91 229 255
153 N_Acc_L 229 91 182 255
154 N_Acc_R 229 108 91 255
155 VTA_L 229 215 91 255
156 VTA_R 135 229 91 255
157 SN_pc_L 91 229 155 255
158 SN_pc_R 91 196 229 255
159 SN_pr_L 94 91 229 255
160 SN_pr_R 201 91 229 255
161 Red_N_L 229 91 149 255
162 Red_N_R 229 141 91 255
163 LC_L 210 229 91 255
164 LC_R 102 229 91 255
165 Raphe_D 91 229 188 255
166 Raphe_M 91 163 229 255
